UID,unit,location,lat,long
0,ber_001,start,34.51242,-119.27422
1,ber_001,end,34.51266,-119.27382
2,ber_002,start,34.51266,-119.27382
3,ber_002,end,34.51423,-119.27057
4,ber_003,start,34.51423,-119.27057
5,ber_003,end,34.51371,-119.26327
6,ber_005,start,34.51371,-119.26327
7,ber_005,end,34.50874,-119.25137
