UID,unit,location,lat,long
0,gob_001,start,34.40121,-119.48593
1,gob_001,end,34.40079,-119.48529
2,gob_003,start,34.4007,-119.48526
3,gob_003,end,34.40172,-119.47537
4,gob_005,start,34.40181,-119.47527
5,gob_005,end,34.40245,-119.47452
6,gob_007,start,34.40248,-119.47447
7,gob_007,end,34.4031,-119.47388
