OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,Unit,Location,Lat,Long
1,27713159,68.9086672,3.433374614,1,0,ROM_001,start,34.41919,-119.62112
2,27713159,798.6513907,-5.746469454,2,1,ROM_001,end,34.42306,-119.61619
3,27713159,543.3638159,82.6432522,3,2,ROM_004,start,34.42326,-119.61888
4,27713159,854.4457832,0.994702787,4,3,ROM_004,end,34.42339,-119.61572
5,27713159,854.4457832,0.994702787,5,4,ROM_005,start,34.42339,-119.61572
6,27713159,1919.175141,7.601662709,6,5,ROM_005,end,34.42857,-119.60711
